Titulo,Duracion,Anio_estreno,Tipo,Genero,Actores,Plataforma
'71,99,2014,Movie,"Action, Adventure, Drama",Sin dato,Hulu
'76,118,2016,Movie,"Dramas, International Movies","Ramsey Nouah, Rita Dominic, Chidi Mokeme, Ibinabo Fiberesima, Daniel K. Daniel, Memry Savanhu, Adonijah Owiriwa, Pat Nebo, Nelly Ekwereogu, Shuaibu Ebenesi Adams, Debo Oguns, Ben Nwosu, Ada Ofoegbu",Netflix
'89,87,2017,Movie,Sports Movies,"Lee Dixon, Ian Wright, Paul Merson",Netflix
'Allo 'Allo!,9,1992,TV Show,Comedy,"Gorden Kaye, Guy Siner, Jeremy Lloyd, Kirsten Cooke",Amazon
(500) Days Of Summer,95,2009,Movie,Comedy,"Joseph Gordon-Levitt, Zooey Deschanel ,  Geoffrey Arend",Amazon
(T)ERROR,84,2015,Movie,Documentaries,Sin dato,Netflix
(Un)Well,1,2020,TV Show,Reality TV,Sin dato,Netflix
1 Chance 2 Dance,89,2014,Movie,"Dramas, Romantic Movies","Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",Netflix
1 Mile to You,105,2017,Movie,"Dramas, Romantic Movies, Sports Movies","Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",Netflix
1 Night in San Diego,86,2020,Movie,Comedy,"Laura Ashley Samuels, Jenna Ushkowitz, Alexandra Daddario",Amazon
1 Night in San Diego,86,2020,Movie,Comedy,Sin dato,Hulu
1/2 New Year,75,2019,Movie,"Comedy, Drama","Shanley Caswell, Jeff Dye, Rome Flynn, Marc Gordon, Alexis Iacono, John Lerardi, Afton Jillian, Brooke Lewis, Jermaine Alverez Martin, Drew McAnany, Amy Paffrath, Ashley Platz, Matt Schulte, Rebecca Vinargo, Bo Youngblood",Amazon
10 Cent Pistol,91,2015,Movie,"Action, Suspense","Jena Malone, JT Alexander, Damon Alexander, Joe Mantegna, Thomas Ian Nicholas",Amazon
10 Day Yoga for Weight Loss Challenge with Chelsey,1,2021,TV Show,"Fitness, Special Interest",Chelsey Jones,Amazon
10 Days in Sun City,87,2017,Movie,"Comedies, International Movies, Romantic Movies","Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.",Netflix
10 Endrathukulla,137,2015,Movie,"Action, Romance","Vikram, Samantha Ruth Prabhu, Pasupathy, Rahul Dev, Abhimanyu Singh",Amazon
10 Hours for Christmas,92,2020,Movie,"Comedy, Kids","Luis Lobianco, Giulia Benite, Pedro Miranda, Lorena Queiroz, Karina Ramil",Amazon
10 Little Buses & More Counting Songs For Kids - KiiYii,31,2020,Movie,Kids,Sin dato,Amazon
10 Minute Meditation for Sleep,23,2020,Movie,Faith and Spirituality,Anne-Marie Newland,Amazon
10 Minutes Gone,88,2019,Movie,"Action, Adventure, Suspense","Michael Chiklis, Bruce Willis, Meadow Williams, Kyle Schmid, Lydia Hull",Amazon
10 Minutes Gone,88,2019,Movie,"Action, Adventure, Suspense","Michael Chiklis, Bruce Willis, Meadow Williams, Kyle Schmid, Lydia Hull, Lala Kent, Texas Battle, Swen Temmel, John Hickman, Sergio Rizzuto, Tyler Jon Olson",Amazon
10 Rillington Place,111,1971,Movie,"Action, Drama, Suspense","Richard Attenborough, Judy Geeson, John Hurt, Robert Hardy",Amazon
10 Things I Hate About You,98,1999,Movie,"Comedy, Coming of Age, Romance","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan",Disney
10 Things I Hate About You,1,2009,TV Show,"Comedy, Drama, Romance",Sin dato,Hulu
10 Things I Hate About You,97,1999,Movie,"Comedy, Drama, Romance","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik, David Krumholtz, Andrew Keegan, Susan May Pratt, Gabrielle Union, Larry Miller, Daryl ""Chill"" Mitchell, Allison Janney, David Leisure, Greg Jackson, Kyle Cease, Terence Heuston, Cameron Fraser, Eric Reidman, Quinn Maixner, Demegio Kimbrough, Todd Butler, Dennis Mosley, Bianca Kajlich, Nick Vukelic, Benjamin Laurance, Aidan Kennedy, Jelani Quinn, Jesse Dyer, Aaron Therol, Carlos LaCamara, Heathre Taylor, Joshua Thorpe, J. R. Johnson, Wendy Gottlieb, Brian Hood, Travis Muller, Ari Karczag, Laura Kenny, Alice Evans, Jesper Inglis, Nick Brown, Monique Powell, Brian Mashburn, Kay Hanley, Michael Eisenstein",Amazon
10 Things You Don't Know About,1,2012,TV Show,"Documentary, Special Interest",Henry Rollins,Amazon
10 items or Less,81,2007,Movie,"Comedy, Drama","Morgan Freeman, Paz Vega, Jonah Hill",Amazon
10 jours en or,97,2012,Movie,"Comedies, Dramas, International Movies","Franck Dubosc, Claude Rich, Marie Kremer, Mathis Touré, Rufus, Olivier Claverie",Netflix
10 to Midnight,102,1983,Movie,"Action, Adventure","Charles Bronson, Lisa Eilbacher, Andrew Stevens, Gene Davis, Geoffrey Lewis, Wilford Brimley",Amazon
"10,000 B.C.",109,2008,Movie,Action & Adventure,"Steven Strait, Camilla Belle, Cliff Curtis, Joel Virgel, Affif Ben Badra, Mo Zinal, Nathanael Baring, Mona Hammond, Omar Sharif",Netflix
10-Minute Guided Meditation,13,2016,Movie,"Fitness, Special Interest",Anne-Marie Newland,Amazon
10.0 Earthquake,0,2014,Movie,"Action, Adventure",Sin dato,Hulu
10.0 Earthquake,87,2014,Movie,Science Fiction,"Henry Ian Cusick, David Chokachi, Jeffrey Jones, Kristen Dalton, Cameron Richardson",Amazon
10/31 Part 2,95,2021,Movie,Horror,"London Grace, Jennifer Nangle, Anastasia Elfman, David E. McMahon, R.J. Wagner",Amazon
100 Days My Prince,1,2018,TV Show,"International TV Shows, Romantic TV Shows, TV Dramas","Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee",Netflix
100 Days Of Solitude,93,2018,Movie,"Documentaries, International Movies",Sin dato,Netflix
100 Days to Live,87,2021,Movie,"Horror, Suspense","Colin Egglesfield, Heidi Johanningmeier, Gideon Emery, Yancey Arias, Chris Johnson",Amazon
100 Foot Wave,1,2021,TV Show,"Documentaries, Sports",Sin dato,Hulu
100 Girls,95,2001,Movie,Comedy,"Jonathan Tucker, Emmanuelle Chriqui, James DeBello, Katherine Heigl, Larisa Oleynik, Jaime Pressly, Marissa Ribisi",Amazon
100 Humans,1,2020,TV Show,"Docuseries, Science & Nature TV","Zainab Johnson, Sammy Obeid, Alie Ward",Netflix
100 Kilos,88,2001,Movie,"Action, Drama, Suspense","Glenn Plummer, Dwayne Adway, Mane Rich Andrew, Ski Carr, Carlos Carrasco, Wayne Collins, Sydney 'Big Dawg' Colston, Keno K. Deary, MC Eiht, Larry B. Scott, Nigel Thatch",Amazon
100 Meters,109,2016,Movie,"Dramas, International Movies, Sports Movies","Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer, Clara Segura, Alba Ribas, Bruno Bergonzini, Ricardo Pereira, Manuela Couto, Marc Balaguer",Netflix
100 Streets,0,2016,Movie,Drama,Sin dato,Hulu
100 Streets,94,2017,Movie,"Action, Drama, Suspense","Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott",Amazon
100 Things to do Before High School,44,2014,Movie,Movies,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena, Brady Reiter, Lisa Arch, Stephanie Escajeda",Netflix
100 Women,95,2003,Movie,Comedy,"Chad Donella, Erinn Bartlett, Jennifer Morrison, Clint Howard, Steve Monroe",Amazon
100 Years: One Woman's Fight for Justice,75,2016,Movie,Documentaries,Sin dato,Netflix
100% Halal,101,2020,Movie,"Dramas, International Movies","Anisa Rahma, Ariyo Wahab, Anandito Dwis, Fitria Rasyidi, Arafah Rianti, Kinaryosih",Netflix
100% Hotter,1,2017,TV Show,"British TV Shows, International TV Shows, Reality TV","Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward",Netflix
100% Wolf,96,2020,Movie,Comedy,Sin dato,Hulu
100-Minutes of Symphony on Washington's Lake Crescent,109,2019,Movie,"Arts, Entertainment, and Culture, Music Videos and Concerts, Special Interest",Kimiko Ishizaka,Amazon
1000 Rupee Note,89,2014,Movie,"Dramas, International Movies","Usha Naik, Sandeep Pathak, Shrikant Yadav, Ganesh Yadav, Pooja Nayak, Devendra Gaikwad",Netflix
1000-lb Sisters,1,2020,TV Show,"Documentaries, Reality",Sin dato,Hulu
100M Criminal Conviction,93,2021,Movie,"Drama, Suspense","Ariane Roberto, Graeme Scott, Giancarlo Murano, Hannah Grieve",Amazon
101 Dalmatian Street,1,2018,TV Show,"Action-Adventure, Animation, Comedy","Josh Brener, Michaela Dietz, Ella Kenion, Rhashan Stone",Disney
101 Dalmatians,81,1961,Movie,"Action-Adventure, Animation, Family","Rod Taylor, J. Pat O'Malley, Betty Gerson, Cate Bauer, Ben Wright, Fred Worlock",Disney
101 Dalmatians (Series),1,1997,TV Show,"Action-Adventure, Animation, Kids","Jeff Bennett, Christine Cavanaugh, Tara Charendoff, Jim Cummings, Tress MacNeille, Charlotte Rae",Disney
101 Dalmatians II: Patch's London Adventure,77,2003,Movie,"Action-Adventure, Animation","Barry Bostwick, Jason Alexander, Martin Short, Bobby Lockwood, Susanne Blakeslee, Samuel West",Disney
102 Dalmatians,104,2000,Movie,"Action-Adventure, Animals & Nature, Family","Glenn Close, Ioan Gruffudd, Alice Evans, Tim McInnerny, Ian Richardson, Gérard Depardieu",Disney
102 Not Out,104,2018,Movie,"Comedy, Drama","Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",Amazon
11.22.63,1,2016,TV Show,"Drama, Science Fiction",Sin dato,Hulu
12 'O' Clock,113,2021,Movie,Horror,"Mithun Chakraborty, Makrand Deshpande, Dalip Tahil, Krishna Gautam, Ashish Vidyarthi",Amazon
12 Dates of Christmas,87,2011,Movie,"Drama, Romance",Sin dato,Amazon
12 Dates of Christmas,88,2011,Movie,"Comedy, Family, Fantasy","Amy Smart, Mark-Paul Gosselaar, Peter MacNeil, Mary Long, Jayne Eastwood, Laura Miyata",Disney
12 Hour Shift,0,2020,Movie,"Comedy, Horror, Thriller",Sin dato,Hulu
12 Monkeys,4,2014,TV Show,"Action, Adventure, Drama",Sin dato,Hulu
12 Pups of Christmas,0,2019,Movie,Romance,Sin dato,Hulu
12 ROUND GUN,90,2017,Movie,"Dramas, Independent Movies, Sports Movies","Sam Upton, Jared Abrahamson, Mark Boone Junior, Laila Ali, Kate Vernon, Cassi Thomson, Colby French, Miguel Perez, Jay Acovone",Netflix
12 Rounds 3: Lockdown,90,2015,Movie,"Action, Adventure, Suspense","Dean Ambrose, Roger Cross, Daniel Cudmore, Lochlyn Munro, Ty Olsson, Sarah Smyth",Amazon
12 Years Promise,1,2014,TV Show,"International TV Shows, Korean TV Shows, Romantic TV Shows","So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu",Netflix
12 Years a Slave,134,2013,Movie,"Black Stories, Drama, History",Sin dato,Hulu
122,95,2019,Movie,"Horror Movies, International Movies","Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",Netflix
127 Hours,94,2010,Movie,Drama,Sin dato,Hulu
12B,156,2001,Movie,"Drama, Romance","Shaam, Simran, Jyothika, Vivek, Sunil Shetty",Amazon
13 Assassins,125,2011,Movie,"Action, Adventure, Drama",Sin dato,Hulu
13 Assassins (English Subtitled),125,2011,Movie,"Action, Arthouse, Drama","Koji Yakusho, Takayuki Yamada, Yusuke Iseya",Amazon
13 Cameras,90,2015,Movie,"Horror Movies, Independent Movies, Thrillers","PJ McCabe, Brianne Moncrief, Sarah Baldwin, Jim Cummings, Heidi Niedermeyer, Neville Archambault",Netflix
13 Ghosts of Scooby-Doo!,1,1985,TV Show,"Comedy, Horror, Kids","Don Messick, Casey Kasem, Heather North, Susan Blu, Vincent Price, Arte Johnson, Howard J. Morris",Amazon
13 Nights of Elvira,1,2014,TV Show,"Comedy, Horror",Elvira Mistress of Dark,Amazon
13 Reasons Why,4,2020,TV Show,"Crime TV Shows, TV Dramas, TV Mysteries","Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves",Netflix
